date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:46	142/142	---M-Z	200	added ('OK')	text/plain	etag:%22d991126fa38adb1:0%22	https://www.india-sales-office.com/robots.txt		(from )
13:37:47	49053/49053	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Apr%202025%2008:07:46%20GMT	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/index.html	(from )
13:37:47	3382/3382	---M--	200	added ('OK')	image/x-icon	etag:%2283e84228968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/images/favicon.ico	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/images/favicon.ico	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:48	4616/4616	---M-Z	200	added ('OK')	text/css	etag:%2241b66e27968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/carousel/owl.carousel.css	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/carousel/owl.carousel.css	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:49	24862/24862	---M-Z	200	added ('OK')	text/css	etag:%22e567472b968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/light-gallery/lightgallery.css	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/light-gallery/lightgallery.css	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:51	160302/160302	---M-Z	200	added ('OK')	text/css	etag:%22ce3d9727968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/bootstrap.min.css	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/bootstrap.min.css	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:51	37415/37415	---M-Z	200	added ('OK')	text/css	etag:%22e229a327968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/font-awesome.min.css	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/font-awesome.min.css	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:52	4712/4712	---M-Z	200	added ('OK')	text/css	etag:%228e29c27968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/flexslider.css	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/flexslider.css	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:53	87234/87234	---M-Z	200	added ('OK')	text/css	etag:%22b350aa27968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/style.css	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/css/style.css	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
13:37:54	6296/6296	---M--	200	added ('OK')	image/png	etag:%22de6cc828968adb1:0%22	https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/images/logo.png	./amaryllis_clone/www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/images/logo.png	(from https://www.india-sales-office.com/Projects/Unity-Group/The-Amaryllis-Delhi/)
